Reference, Value, Footprint, Datasheet, manf#
U3,ATSAMD21E,hack:QFN-32-1EP_5x5mm_Pitch0.5mm,
U2,STF202,hack:TSOP-6,
P1,USB_micro,hack:47346-0001,
R1,1M,hack:R_0603_HandSoldering,
C5,4.5nF,hack:C_0603_HandSoldering,
C6,10pF,hack:C_0603_HandSoldering,
C7,10pF,hack:C_0603_HandSoldering,
C3,10uF,hack:c_elec_3x5.3,
C8,100nF,hack:C_0603_HandSoldering,
C9,100nF,hack:C_0603_HandSoldering,
C10,100nF,hack:C_0603_HandSoldering,
L2,10uH,hack:ELLVFG,
L1,BLM18EG221,hack:L_0603_HandSoldering,
C4,10uF,hack:c_elec_3x5.3,
P2,CONN_01X13,hack-footprints:Pin_Castellated_1x13,
P3,CONN_01X13,hack-footprints:Pin_Castellated_1x13,
D1,BLUE,hack:LED_0603_HandSoldering,
R2,68,hack:R_0603_HandSoldering,
R4,330,hack:R_0603_HandSoldering,
C11,100nF,hack:C_0603_HandSoldering,
S1,RST,hack-footprints:SPST-PTS_810,
R3,10k,hack:R_0603_HandSoldering,
U1,MIC5528,hack:DFN-6-1EP_1.2x1.2mm_Pitch0.4mm,
C1,2.2uF,hack:C_0603_HandSoldering,
C2,2.2uF,hack:C_0603_HandSoldering,
JP1,Jumper_NO_Small,hack:SMD_Jumper,
P4,CONN_01X01,hack-footprints:Pin_Castellated_1x01,
FID1,FIDUCIAL,hack:FIDUCIAL,
FID2,FIDUCIAL,hack:FIDUCIAL,
FID3,FIDUCIAL,hack:FIDUCIAL,
LOGO2,HACKADAY,hack:HACKADAY-LOGO,,mfr_pn
LOGO1,OSHW,hack:OSHW-LOGO,,mfr_pn
LOGO3,HACK,,,Value
X1,ABS07,,
